"seed.plotcode","species","nsamples","growth1","growth2","growth3","growth4","browse1","browse2","browse3","browse4"
46,1,2,-3.7,4.6,0,2,0,0,0,0
46,0,3,6.4,0.100000000000001,4.8,NA,0,0,0,NA
46,0,1,0.899999999999999,NA,NA,NA,0,NA,NA,NA
46,1,1,0.899999999999999,NA,NA,NA,0,NA,NA,NA
46,0,4,2.7,0.299999999999997,-0.5,2.1,0,0,0,0
46,1,1,0.899999999999999,NA,NA,NA,0,NA,NA,NA
47,0,1,2.99999999999999,NA,NA,NA,0,NA,NA,NA
47,1,3,-12,2,0.199999999999999,NA,1,1,1,NA
47,0,3,1.2,4.4,0.600000000000001,0,0,0,0,1
47,0,1,-0.5,0,NA,NA,1,1,NA,NA
47,1,1,-0.199999999999996,0,NA,NA,1,1,NA,NA
47,0,3,6.7,5.8,-10,NA,0,0,1,NA
47,0,1,1.3,NA,NA,NA,0,NA,NA,NA
48,1,2,0.800000000000004,3.5,0,-6.3,0,0,0,0
48,0,3,0.399999999999999,2.2,1.8,NA,0,0,0,NA
48,1,1,-4.1,NA,NA,NA,0,NA,NA,NA
53,1,4,2.2,0.100000000000001,4.9,4.7,0,0,0,0
53,1,4,2,15,7.40000000000001,9.19999999999999,0,0,0,0
53,1,4,0.700000000000003,5.9,5.9,6.3,0,0,0,0
53,1,3,-1.8,0.399999999999999,18.3,NA,0,0,0,NA
53,1,2,0.399999999999999,7,NA,NA,0,0,NA,NA
54,1,2,0.0999999999999943,4.2,0,6,1,0,1,1
54,1,4,1.3,0.600000000000001,8.3,4.6,0,1,0,0
54,1,3,2,1.8,0.399999999999999,0,1,0,0,1
54,1,1,1.4,NA,NA,NA,0,NA,NA,NA
54,1,4,3.1,5.4,5.40000000000001,6.89999999999999,0,0,0,1
54,1,1,-1.2,NA,NA,NA,1,NA,NA,NA
