Unit,Plot,Quadrat,SpClass,Species,Class 1,Class 2,Class 3,Class 4,Notes
1,L5,3,OC,BLG,0,1,0,0,
1,L5,3,OC,WHA,1,0,0,0,
1,L5,3,Xoak,BLO,1,0,0,0,
1,L5,4,INT,SAS,6,1,1,2,
1,L5,4,TOL,REM,3,1,0,0,
1,L5,4,MOak,WHO,2,0,0,0,
1,L5,4,Xoak,BLO,3,0,0,0,
1,L5,4,Xoak,SCO,1,0,0,0,
1,L7,1,OC,REE,5,0,0,0,
1,L7,1,TOL,AMB,0,0,0,1,
1,L7,1,NC,MUS,0,0,0,2,
1,L7,1,TOL,REM,2,0,0,0,
1,L7,1,OC,WHA,1,0,0,0,
1,L7,2,OC,REE,0,1,0,0,
1,L7,2,NC,MUS,0,0,0,1,
1,L7,2,OC,WHA,1,1,0,0,
1,L7,2,OC,FLD,2,0,0,0,
1,L7,3,OC,FLD,2,2,0,0,
1,L7,3,OC,REE,24,1,1,0,
1,L7,3,NC,MUS,0,0,1,1,
1,L7,3,NC,WIT,0,0,1,0,
1,L7,4,OC,REE,6,0,0,0,
1,L7,4,OC,WHA,0,1,1,0,
1,L7,4,TOL,AMB,0,0,0,3,
1,L7,4,Hic,SHH,0,0,1,0,
1,M3,1,XOak,CHO,8,3,0,0,
1,M3,1,Xoak,BLO,5,1,0,0,
1,M3,1,Hic,SHH,2,0,0,0,
1,M3,1,INT,SAS,4,0,1,0,
1,M3,1,OC,FLD,1,0,0,0,
1,M3,1,OC,WHA,1,0,0,0,
1,M3,1,NC,SER,0,0,2,0,
1,M3,1,Hic,PIH,1,0,0,0,
1,M3,1,TOL,REM,28,0,0,0,
1,M3,2,Hic,SHH,1,0,0,0,
1,M3,2,INT,SAS,9,0,2,1,
1,M3,2,Xoak,BLO,3,0,0,0,
1,M3,2,Hic,PIH,2,0,0,0,
1,M3,2,INT,BLC,1,0,0,0,
1,M3,2,XOak,CHO,4,3,0,0,
1,M3,2,Moak,NRO,2,0,0,0,
1,M3,2,INT,TUP,1,0,0,0,
1,M3,2,MOak,WHO,1,0,0,0,
1,M3,2,TOL,REM,38,0,0,0,
1,M3,3,Hic,PIH,2,0,0,0,
1,M3,3,INT,SAS,1,0,4,1,
1,M3,3,XOak,CHO,18,2,0,0,
1,M3,3,Moak,NRO,2,0,0,0,
1,M3,3,Xoak,BLO,2,0,0,0,
1,M3,3,TOL,REM,26,0,0,0,
1,M3,4,INT,SAS,4,2,1,0,
1,M3,4,XOak,CHO,14,2,0,0,
1,M3,4,Hic,PIH,1,0,0,0,
1,M3,4,INT,TUP,1,0,0,0,
1,M3,4,TOL,REM,42,0,0,0,
1,M5,1,TOL,REM,4,0,0,1,
1,M5,1,XOak,CHO,9,0,0,0,
1,M5,1,Xoak,OAK,2,0,0,0,
1,M5,1,INT,SAS,5,1,1,0,
1,M5,2,INT,SAS,10,0,0,0,
1,M5,2,TOL,REM,13,0,0,1,
1,M5,2,NC,SER,2,0,0,0,
1,M5,2,XOak,CHO,4,0,0,0,
1,M5,2,Hic,SHH,1,0,0,0,
1,M5,2,OC,FLD,3,1,0,0,
1,M5,3,INT,SAS,18,3,0,0,
1,M5,3,NC,MUS,1,0,0,0,
1,M5,3,TOL,REM,2,1,0,0,
1,M5,3,Xoak,BLO,2,0,0,0,
1,M5,4,INT,SAS,5,4,0,0,
1,M5,4,Xoak,OAK,3,0,0,0,
1,M5,4,TOL,REM,3,0,0,0,
1,M5,4,XOak,CHO,0,1,0,0,
1,M7,1,OC,WHA,0,0,1,0,
1,M7,1,OC,REE,1,0,0,0,
1,M7,2,NC,SPI,0,0,0,1,
1,M7,2,NC,MUS,0,0,0,1,
1,M7,2,Hic,HIC,1,0,0,0,
1,M7,3,#N/A,ALD,2,0,0,0,
1,M7,3,OC,WHA,1,0,0,0,
1,M7,3,OC,REE,1,0,0,0,
1,M7,4,OC,REE,1,1,0,0,
1,M7,4,OC,WHA,1,0,1,0,
1,M7,4,NC,SPI,0,0,3,0,
