"unit","treecode","species","height","dbh","volume","llc","N","NE","E","SE","S","SW","W","NW","length","crownarea","edge","shelter","syr1","syr2","syr3","syr4","syr5","syr6","mast1","mast2","mast3","mast4","mast5","mast6"
8,91,1,23.9,61.976,1544.258621,13.5,5.4,6.8,6.6,7.3,7.9,9.4,9.2,6.5,10.4,156.655971837974,0,0,1,2,4,5,6,NA,0,0,1.61,0,0,0
8,92,1,32.8,37.592,326.309472,12.8,3.1,3.4,3.8,3.6,2.7,4.3,3.8,3.2,20,34.2557880145823,1,0,1,2,4,5,6,NA,0,3,1.61,0,0,1
8,93,0,35.6,68.072,2135.389473,14.7,8.9,10.1,6.5,7.7,8.9,8.4,8.4,7.7,20.9,195.391281311373,1,0,1,2,4,5,6,NA,0,0,1.61,0,0,0
8,94,0,29.9,66.04,1885.556491,16.1,7.2,7.1,8.5,9.9,6,7.2,7,6.9,13.8,157.896944238956,1,0,1,2,4,5,6,NA,0,0,1.61,0,0,4
8,95,1,31.5,69.596,1295.742877,14.3,7.5,6.4,12,6.7,5.5,4.6,5.6,4.3,17.2,123.545696808914,1,0,1,2,4,5,6,NA,0,12,1.61,0,48,0
8,96,0,35.7,51.816,405.201864,9.6,3.4,4.7,6.4,3.6,3.9,5.7,4.1,4.1,26.1,56.3882302657212,1,0,1,2,4,5,6,NA,1,2,1.61,0,1,0
8,97,1,25.1,40.64,308.7137813,9.5,4.9,4,3.5,4.1,5.1,3.2,3.6,3.1,15.6,43.5047447125023,1,0,1,2,4,5,6,NA,2,2,1.61,0,8,0
8,98,0,27.2,69.088,2861.862156,14.4,9.3,6.7,8.9,9.6,10.6,10.8,11,11,12.8,270.722902245082,0,0,1,2,4,5,6,NA,3,13,1.61,1,1,3
8,99,1,30.7,43.688,1031.411667,20.6,6.6,5.6,4.7,4.1,5.3,5.8,3.2,3.8,10.1,67.4650579930085,0,0,1,2,4,5,6,NA,1,22,1.61,0,6,0
8,100,0,33.5,60.706,1773.435687,23.7,6.4,5.9,7.3,5.3,6.9,4.5,5.3,6.2,9.8,100.242992834911,0,0,1,2,4,5,6,NA,2,2,1.61,0,5,10
8,101,1,34.8,61.976,1704.455541,19.1,7.3,4.9,9.7,6.9,4,5.1,6.9,7.4,15.7,119.677822715823,0,0,1,2,4,5,6,NA,12,6,1.61,0,20,0
9,102,0,29.2,55.626,1742.156719,19.3,5.9,4.8,7.3,8.4,7.5,6.3,7.3,5,9.9,122.654742264619,0,0,1,2,3,4,5,6,0,7,0,0,0,1
9,103,1,28.9,45.72,1689.862763,18.3,5.5,7.8,6.7,4.7,5.8,9.8,6.7,6.1,10.6,124.037136021838,0,0,1,2,3,4,5,6,0,0,0,0,1,0
9,104,0,38.4,53.848,1034.140986,17.4,3.8,3.6,2.4,5.8,5.2,6.2,6.8,8.8,21,82.7597776700735,1,0,1,2,4,5,6,NA,0,13,1.61,0,1,1
9,105,1,32.1,54.356,3318.364275,20.1,9.8,9.8,7.8,9.1,10.3,8.5,7.5,8.2,12,222.86237976047,1,0,1,2,4,5,6,NA,2,1,1.61,0,4,0
9,106,1,23.9,51.816,1222.896528,14.7,6.2,6.8,6.3,7,6.1,6.8,5.1,6.1,9.2,112.037533945103,1,0,1,2,3,4,5,6,1,0,3,0,3,0
9,107,0,28.1,42.164,729.71192,14.5,5,4.5,4.4,2.1,5.4,5.3,6.7,5.8,13.6,68.8969492249113,1,0,1,2,3,4,5,6,0,1,0,0,5,0
9,108,0,35.8,71.882,2315.323868,20.8,7,7.5,7.5,8,6.9,5.8,8.9,6.7,15,149.241957237233,1,0,1,2,4,5,6,NA,0,3,1.61,0,0,10
9,109,1,26,40.894,967.3039673,15.9,6.3,6,4.7,5.2,6.6,4.9,4.2,5.2,10.1,82.1233815670056,1,0,1,2,4,5,6,NA,0,1,1.61,0,29,0
10,110,1,30.9,46.228,1807.46202,19.5,7.3,6,6.6,5.4,6.9,6.3,7.1,7.6,11.4,125.136687066583,0,0,2,3,4,5,6,NA,3.31,3,0,0,0,0
10,111,0,36.1,51.816,1424.290688,20.2,6.2,3.7,4.5,5.3,5.2,9.9,6.8,4.8,15.9,96.2372329194891,0,0,2,3,4,5,6,NA,3.31,4,0,0,9,1
10,112,1,31.2,36.83,1017.318228,18.3,5.1,6.3,5.3,4.8,4.8,5.2,3.9,5.8,12.9,74.7553289070418,0,0,2,3,4,5,6,NA,3.31,1,0,1,2,0
10,113,0,25.9,48.26,835.61625,12.6,5.1,6.1,7,5.2,5.6,6.2,4.8,5,13.3,89.5586093711822,0,0,2,3,4,5,6,NA,3.31,4,0,1,1,0
